Date,ADTX
2022-02-28,29440.0
2022-03-01,30960.0
2022-03-02,32640.0
2022-03-03,30240.0
2022-03-04,28960.0
2022-03-07,26800.0
2022-03-08,27440.0
2022-03-09,30000.0
2022-03-10,30080.0
2022-03-11,30000.0
2022-03-14,27600.0
2022-03-15,28480.0
2022-03-16,30640.0
2022-03-17,30400.0
2022-03-18,34000.0
2022-03-21,36880.0
2022-03-22,35520.0
2022-03-23,40720.0
2022-03-24,41280.0
2022-03-25,36560.0
2022-03-28,34240.0
2022-03-29,33920.0
2022-03-30,33920.0
2022-03-31,36560.0
2022-04-01,35440.0
2022-04-04,35680.0
2022-04-05,37200.0
2022-04-06,33680.0
2022-04-07,34400.0
2022-04-08,32800.0
2022-04-11,31360.0
2022-04-12,29760.0
2022-04-13,31360.0
2022-04-14,31760.0
2022-04-18,28160.0
2022-04-19,30320.0
2022-04-20,30320.0
2022-04-21,27440.0
2022-04-22,27760.0
2022-04-25,28320.0
2022-04-26,27200.0
2022-04-27,26640.0
2022-04-28,26000.0
2022-04-29,25600.0
2022-05-02,26080.0
2022-05-03,26480.0
2022-05-04,28720.0
2022-05-05,29520.0
2022-05-06,28800.0
2022-05-09,27040.0
2022-05-10,25280.0
2022-05-11,24080.0
2022-05-12,21680.0
2022-05-13,23280.0
2022-05-16,23600.0
2022-05-17,21520.0
2022-05-18,20240.0
2022-05-19,21600.0
2022-05-20,21600.0
2022-05-23,21600.0
2022-05-24,20720.0
2022-05-25,20640.0
2022-05-26,21680.0
2022-05-27,23200.0
2022-05-31,22640.0
2022-06-01,23280.0
2022-06-02,23200.0
2022-06-03,23600.0
2022-06-06,23120.0
2022-06-07,22640.0
2022-06-08,24000.0
2022-06-09,23840.0
2022-06-10,21920.0
2022-06-13,16080.0
2022-06-14,19840.0
2022-06-15,14320.0
2022-06-16,12720.0
2022-06-17,11120.0
2022-06-21,11120.0
2022-06-22,10640.0
2022-06-23,11680.0
2022-06-24,12240.0
2022-06-27,12480.0
2022-06-28,11440.0
2022-06-29,16000.0
2022-06-30,11440.0
2022-07-01,11680.0
2022-07-05,11120.0
2022-07-06,12080.0
2022-07-07,12800.0
2022-07-08,19200.0
2022-07-11,16000.0
2022-07-12,15600.0
2022-07-13,13840.0
2022-07-14,13520.0
2022-07-15,13920.0
2022-07-18,13600.0
2022-07-19,14400.0
2022-07-20,14800.0
2022-07-21,15040.0
2022-07-22,13840.0
2022-07-25,12960.0
2022-07-26,12160.0
2022-07-27,12240.0
2022-07-28,12480.0
2022-07-29,12640.0
2022-08-01,12240.0
2022-08-02,12240.0
2022-08-03,13200.0
2022-08-04,13600.0
2022-08-05,13680.0
2022-08-08,13120.0
2022-08-09,12560.0
2022-08-10,12880.0
2022-08-11,13600.0
2022-08-12,14000.0
2022-08-15,13600.0
2022-08-16,13600.0
2022-08-17,13120.0
2022-08-18,12800.0
2022-08-19,15200.0
2022-08-22,13360.0
2022-08-23,13360.0
2022-08-24,13360.0
2022-08-25,13280.0
2022-08-26,12640.0
