Date,CNSP
2022-02-28,585.0
2022-03-01,498.0
2022-03-02,496.5
2022-03-03,547.5
2022-03-04,471.0
2022-03-07,399.0
2022-03-08,393.0
2022-03-09,426.0
2022-03-10,424.5
2022-03-11,505.5
2022-03-14,457.5
2022-03-15,480.0
2022-03-16,474.0
2022-03-17,475.5
2022-03-18,495.0
2022-03-21,483.0
2022-03-22,510.0
2022-03-23,498.0
2022-03-24,514.5
2022-03-25,502.5
2022-03-28,486.0
2022-03-29,510.0
2022-03-30,514.5
2022-03-31,511.5
2022-04-01,510.0
2022-04-04,496.5
2022-04-05,570.0
2022-04-06,636.0
2022-04-07,592.5
2022-04-08,540.0
2022-04-11,580.5
2022-04-12,600.0
2022-04-13,645.0
2022-04-14,585.0
2022-04-18,517.5
2022-04-19,534.0
2022-04-20,520.5
2022-04-21,483.0
2022-04-22,502.5
2022-04-25,495.0
2022-04-26,492.0
2022-04-27,492.0
2022-04-28,501.0
2022-04-29,507.0
2022-05-02,498.0
2022-05-03,525.0
2022-05-04,522.0
2022-05-05,490.5
2022-05-06,471.0
2022-05-09,442.5
2022-05-10,450.0
2022-05-11,412.5
2022-05-12,412.5
2022-05-13,435.0
2022-05-16,426.0
2022-05-17,424.5
2022-05-18,429.0
2022-05-19,435.0
2022-05-20,414.0
2022-05-23,429.0
2022-05-24,423.0
2022-05-25,447.0
2022-05-26,472.5
2022-05-27,442.5
2022-05-31,454.5
2022-06-01,450.0
2022-06-02,477.0
2022-06-03,486.0
2022-06-06,478.5
2022-06-07,465.0
2022-06-08,460.5
2022-06-09,465.0
2022-06-10,430.5
2022-06-13,402.0
2022-06-14,400.5
2022-06-15,409.5
2022-06-16,409.5
2022-06-17,420.0
2022-06-21,405.0
2022-06-22,420.0
2022-06-23,417.0
2022-06-24,397.5
2022-06-27,397.5
2022-06-28,394.5
2022-06-29,412.5
2022-06-30,420.0
2022-07-01,397.5
2022-07-05,391.5
2022-07-06,390.0
2022-07-07,423.0
2022-07-08,426.0
2022-07-11,399.0
2022-07-12,408.0
2022-07-13,397.5
2022-07-14,388.5
2022-07-15,405.0
2022-07-18,357.0
2022-07-19,351.0
2022-07-20,345.0
2022-07-21,349.5
2022-07-22,337.5
2022-07-25,345.0
2022-07-26,309.0
2022-07-27,330.0
2022-07-28,324.0
2022-07-29,330.0
2022-08-01,330.0
2022-08-02,319.5
2022-08-03,330.0
2022-08-04,345.0
2022-08-05,339.0
2022-08-08,388.5
2022-08-09,375.0
2022-08-10,376.5
2022-08-11,390.0
2022-08-12,384.0
2022-08-15,388.5
2022-08-16,360.0
2022-08-17,367.5
2022-08-18,370.5
2022-08-19,370.5
2022-08-22,361.5
2022-08-23,370.5
2022-08-24,382.5
2022-08-25,396.0
2022-08-26,385.5
2022-08-29,388.5
2022-08-30,378.0
2022-08-31,366.0
2022-09-01,361.5
2022-09-02,372.0
2022-09-06,358.5
2022-09-07,360.0
2022-09-08,354.0
2022-09-09,351.0
2022-09-12,352.5
2022-09-13,364.5
2022-09-14,360.0
2022-09-15,369.0
2022-09-16,357.0
2022-09-19,337.5
2022-09-20,336.0
2022-09-21,325.5
2022-09-22,286.5
2022-09-23,288.0
2022-09-26,292.5
2022-09-27,285.0
2022-09-28,292.5
2022-09-29,283.5
2022-09-30,268.5
2022-10-03,270.0
2022-10-04,271.5
2022-10-05,273.0
2022-10-06,282.0
2022-10-07,289.5
2022-10-10,298.5
2022-10-11,310.5
2022-10-12,315.0
2022-10-13,303.0
2022-10-14,307.5
2022-10-17,291.0
2022-10-18,279.0
2022-10-19,285.0
2022-10-20,279.0
2022-10-21,279.0
2022-10-24,261.0
2022-10-25,277.5
2022-10-26,276.0
2022-10-27,264.0
2022-10-28,270.0
2022-10-31,240.0
2022-11-01,255.0
2022-11-02,300.0
2022-11-03,300.0
2022-11-04,286.5
2022-11-07,285.0
2022-11-08,285.0
2022-11-09,277.5
2022-11-10,279.0
2022-11-11,283.5
2022-11-14,291.0
2022-11-15,285.0
2022-11-16,294.0
2022-11-17,292.5
2022-11-18,300.0
2022-11-21,310.5
2022-11-22,315.0
2022-11-23,328.5
2022-11-25,315.0
2022-11-28,250.5
2022-11-29,202.5
2022-11-30,151.5
2022-12-01,145.0
2022-12-02,138.0
2022-12-05,127.0
2022-12-06,125.5
2022-12-07,118.5
2022-12-08,117.5
2022-12-09,139.5
2022-12-12,125.0
2022-12-13,117.0
2022-12-14,126.0
2022-12-15,127.5
2022-12-16,146.5500030517578
