Date,DBGI
2022-02-28,2775.0
2022-03-01,2700.0
2022-03-02,2850.0
2022-03-03,2675.0
2022-03-04,3325.0
2022-03-07,4900.0
2022-03-08,3400.0
2022-03-09,3125.0
2022-03-10,3550.0
2022-03-11,4350.0
2022-03-14,3925.0
2022-03-15,3850.0
2022-03-16,3975.0
2022-03-17,4150.0
2022-03-18,4425.0
2022-03-21,4050.0
2022-03-22,4100.0
2022-03-23,4100.0
2022-03-24,4025.0
2022-03-25,4525.0
2022-03-28,4150.0
2022-03-29,4200.0
2022-03-30,4475.0
2022-03-31,4750.0
2022-04-01,3575.0
2022-04-04,3500.0
2022-04-05,3225.0
2022-04-06,3125.0
2022-04-07,3150.0
2022-04-08,3050.0
2022-04-11,2875.0
2022-04-12,2725.0
2022-04-13,2825.0
2022-04-14,2787.5
2022-04-18,2130.0
2022-04-19,2232.5
2022-04-20,2250.0
2022-04-21,2225.0
2022-04-22,2135.0
2022-04-25,1987.5
2022-04-26,1920.0
2022-04-27,1762.5
2022-04-28,1777.5
2022-04-29,1620.0
2022-05-02,1522.5
2022-05-03,1345.0
2022-05-04,1350.0
2022-05-05,1242.5
2022-05-06,562.5
2022-05-09,510.0
2022-05-10,532.5
2022-05-11,585.0
2022-05-12,592.5
2022-05-13,597.5
2022-05-16,622.5
2022-05-17,600.0
2022-05-18,567.5
2022-05-19,502.5
2022-05-20,457.5
2022-05-23,445.0
2022-05-24,410.0
2022-05-25,455.0
2022-05-26,462.5
2022-05-27,465.0
2022-05-31,457.5
2022-06-01,507.5
2022-06-02,495.0
2022-06-03,492.5
2022-06-06,447.5
2022-06-07,440.0
2022-06-08,435.0
2022-06-09,560.0
2022-06-10,532.5
2022-06-13,515.0
2022-06-14,470.0
2022-06-15,470.0
2022-06-16,537.5
2022-06-17,477.5
2022-06-21,457.5
2022-06-22,457.5
2022-06-23,472.5
2022-06-24,482.5
2022-06-27,482.5
2022-06-28,487.5
2022-06-29,527.5
2022-06-30,487.5
2022-07-01,505.0
2022-07-05,492.5
