Date,GWAV
2022-02-28,1200.0
2022-03-01,859.5
2022-03-02,645.0
2022-03-03,502.5
2022-03-04,591.0
2022-03-07,927.0
2022-03-08,930.0
2022-03-09,975.0
2022-03-10,982.5
2022-03-11,936.0
2022-03-14,945.0
2022-03-15,958.5
2022-03-16,930.0
2022-03-17,897.0
2022-03-18,892.5
2022-03-21,825.0
2022-03-22,894.0
2022-03-23,885.0
2022-03-24,967.5
2022-03-25,1053.0
2022-03-28,1059.0
2022-03-29,1102.5
2022-03-30,1128.0
2022-03-31,1185.0
2022-04-01,1230.0
2022-04-04,1147.5
2022-04-05,1150.5
2022-04-06,1155.0
2022-04-07,1128.0
2022-04-08,1197.0
2022-04-11,1128.0
2022-04-12,1176.0
2022-04-13,1155.0
2022-04-14,1060.5
2022-04-18,1140.0
2022-04-19,1050.0
2022-04-20,1120.5
2022-04-21,1087.5
2022-04-22,1086.0
2022-04-25,966.0
2022-04-26,901.5
2022-04-27,936.0
2022-04-28,900.0
2022-04-29,865.5
2022-05-02,910.5
2022-05-03,910.5
2022-05-04,817.5
2022-05-05,892.5
2022-05-06,885.0
2022-05-09,861.0
2022-05-10,807.0
2022-05-11,853.5
2022-05-12,855.0
2022-05-13,838.5
2022-05-16,840.0
2022-05-17,838.5
2022-05-18,778.5
2022-05-19,781.5
2022-05-20,780.0
2022-05-23,762.0
2022-05-24,765.0
2022-05-25,676.5
2022-05-26,631.5
2022-05-27,733.5
2022-05-31,694.5
2022-06-01,675.0
2022-06-02,652.5
2022-06-03,603.0
2022-06-06,657.0
2022-06-07,675.0
2022-06-08,705.0
2022-06-09,690.0
2022-06-10,739.5
2022-06-13,732.0
2022-06-14,717.0
2022-06-15,795.0
2022-06-16,819.0
2022-06-17,855.0
2022-06-21,918.0
2022-06-22,1056.0
2022-06-23,1182.0
2022-06-24,1210.5
2022-06-27,1009.5
2022-06-28,1005.0
2022-06-29,1050.0
2022-06-30,1080.0
2022-07-01,1125.0
2022-07-05,1125.0
2022-07-06,1150.5
2022-07-07,1162.5
2022-07-08,1195.5
2022-07-11,1162.5
2022-07-12,1197.0
2022-07-13,1183.5
2022-07-14,1155.0
2022-07-15,1162.5
2022-07-18,1185.0
2022-07-19,1185.0
2022-07-20,1185.0
2022-07-21,1125.0
2022-07-22,795.0
2022-07-25,667.5
2022-07-26,618.0
2022-07-27,603.0
2022-07-28,607.5
2022-07-29,591.0
2022-08-01,585.0
2022-08-02,532.5
2022-08-03,581.25
2022-08-04,555.0
2022-08-05,532.5
2022-08-08,547.3499755859375
2022-08-09,525.0
2022-08-10,540.0
2022-08-11,535.5
2022-08-12,503.25
2022-08-15,553.5
2022-08-16,511.5
2022-08-17,499.5
2022-08-18,495.0
2022-08-19,528.0
2022-08-22,501.0
2022-08-23,507.0
2022-08-24,474.0
2022-08-25,535.5
2022-08-26,490.5
2022-08-29,438.0
2022-08-30,436.5
2022-08-31,474.0
2022-09-01,457.5
2022-09-02,469.5
2022-09-06,457.5
2022-09-07,450.0
2022-09-08,455.25
2022-09-09,459.0
2022-09-12,454.5
2022-09-13,447.0
2022-09-14,441.0
2022-09-15,430.5
2022-09-16,384.0
2022-09-19,315.0
2022-09-20,328.5
2022-09-21,325.5
2022-09-22,303.0
2022-09-23,283.5
2022-09-26,313.5
2022-09-27,288.0
2022-09-28,276.0
2022-09-29,246.0
2022-09-30,259.5
2022-10-03,252.0
2022-10-04,249.0
2022-10-05,244.5
2022-10-06,232.5
2022-10-07,219.0
2022-10-10,195.0
2022-10-11,166.5
2022-10-12,186.0
