Date,MULN
2022-02-28,3802500.0
2022-03-01,2317500.0
2022-03-02,2205000.0
2022-03-03,2002500.0
2022-03-04,1777500.0
2022-03-07,2385000.0
2022-03-08,2790000.0
2022-03-09,2587500.0
2022-03-10,2407500.0
2022-03-11,3037500.0
2022-03-14,3982500.0
2022-03-15,3600000.0
2022-03-16,3937500.0
2022-03-17,5490000.0
2022-03-18,6525000.0
2022-03-21,7222500.0
2022-03-22,7447500.0
2022-03-23,6997500.0
2022-03-24,6750000.0
2022-03-25,5287500.0
2022-03-28,5512500.0
2022-03-29,5287500.0
2022-03-30,6817500.0
2022-03-31,6705000.0
2022-04-01,6457500.0
2022-04-04,6435000.0
2022-04-05,6120000.0
2022-04-06,5962500.0
2022-04-07,5355000.0
2022-04-08,5647500.0
2022-04-11,5985000.0
2022-04-12,5557500.0
2022-04-13,5400000.0
2022-04-14,4860000.0
2022-04-18,4140000.0
2022-04-19,3802500.0
2022-04-20,3172500.0
2022-04-21,3150000.0
2022-04-22,3330000.0
2022-04-25,3127500.0
2022-04-26,2902500.0
2022-04-27,3037500.0
2022-04-28,3060000.0
2022-04-29,2970000.0
2022-05-02,2902500.0
2022-05-03,2992500.0
2022-05-04,2902500.0
2022-05-05,2947500.0
2022-05-06,2700000.0
2022-05-09,2430000.0
2022-05-10,2137500.0
2022-05-11,1800000.0
2022-05-12,1957500.0
2022-05-13,2227500.0
2022-05-16,2632500.0
2022-05-17,2565000.0
2022-05-18,2362500.0
2022-05-19,2295000.0
2022-05-20,2475000.0
2022-05-23,2362500.0
2022-05-24,2250000.0
2022-05-25,2295000.0
2022-05-26,2205000.0
2022-05-27,2182500.0
2022-05-31,3150000.0
2022-06-01,3195000.0
2022-06-02,2767500.0
2022-06-03,2857500.0
2022-06-06,3105000.0
2022-06-07,3015000.0
2022-06-08,2880000.0
2022-06-09,2700000.0
2022-06-10,2565000.0
2022-06-13,2362500.0
2022-06-14,2407500.0
2022-06-15,2610000.0
2022-06-16,2812500.0
2022-06-17,2970000.0
2022-06-21,3420000.0
2022-06-22,3600000.0
2022-06-23,3285000.0
2022-06-24,3285000.0
2022-06-27,2947500.0
2022-06-28,2745000.0
2022-06-29,2542500.0
2022-06-30,2295000.0
2022-07-01,2430000.0
2022-07-05,2227500.0
2022-07-06,2295000.0
2022-07-07,2407500.0
2022-07-08,2632500.0
2022-07-11,2745000.0
2022-07-12,2497500.0
2022-07-13,2452500.0
2022-07-14,2362500.0
2022-07-15,2430000.0
2022-07-18,2385000.0
2022-07-19,2452500.0
2022-07-20,2452500.0
2022-07-21,2497500.0
2022-07-22,2295000.0
2022-07-25,2295000.0
2022-07-26,1957500.0
2022-07-27,1957500.0
2022-07-28,1822500.0
2022-07-29,1777500.0
2022-08-01,1957500.0
2022-08-02,2070000.0
2022-08-03,2070000.0
2022-08-04,1890000.0
2022-08-05,1912500.0
2022-08-08,1800000.0
2022-08-09,1777500.0
2022-08-10,1822500.0
2022-08-11,1845000.0
2022-08-12,1867500.0
2022-08-15,2047500.0
2022-08-16,2002500.0
2022-08-17,1890000.0
2022-08-18,1822500.0
2022-08-19,1687500.0
2022-08-22,1597500.0
2022-08-23,1530000.0
2022-08-24,1575000.0
2022-08-25,1507500.0
2022-08-26,1440000.0
2022-08-29,1395000.0
2022-08-30,1440000.0
2022-08-31,1507500.0
2022-09-01,1440000.0
2022-09-02,1417500.0
2022-09-06,1485000.0
2022-09-07,1507500.0
2022-09-08,1372500.0
2022-09-09,1260000.0
2022-09-12,1305000.0
2022-09-13,1215000.0
2022-09-14,1192500.0
2022-09-15,1215000.0
2022-09-16,1125000.0
2022-09-19,1035000.0
2022-09-20,990000.0
2022-09-21,922500.0
2022-09-22,832500.0
2022-09-23,900000.0
2022-09-26,765000.0
2022-09-27,742500.0
2022-09-28,810000.0
2022-09-29,765000.0
2022-09-30,742500.0
2022-10-03,720000.0
2022-10-04,810000.0
2022-10-05,765000.0
2022-10-06,742500.0
2022-10-07,675000.0
2022-10-10,585000.0
2022-10-11,562500.0
2022-10-12,562500.0
2022-10-13,540000.0
2022-10-14,517500.0
