Date,TTOO
2022-02-28,2175.0
2022-03-01,2120.0
2022-03-02,2040.0
2022-03-03,2010.0
2022-03-04,2015.0
2022-03-07,1915.0
2022-03-08,2005.0
2022-03-09,2150.0
2022-03-10,2020.0
2022-03-11,1920.0
2022-03-14,1820.0
2022-03-15,1840.0
2022-03-16,1970.0
2022-03-17,2060.0
2022-03-18,2250.0
2022-03-21,2130.0
2022-03-22,2190.0
2022-03-23,2165.0
2022-03-24,2205.0
2022-03-25,2110.0
2022-03-28,2000.0
2022-03-29,2175.0
2022-03-30,2385.0
2022-03-31,2620.0
2022-04-01,2600.0
2022-04-04,2685.0
2022-04-05,2580.0
2022-04-06,2560.0
2022-04-07,2500.0
2022-04-08,2420.0
2022-04-11,2685.0
2022-04-12,2425.0
2022-04-13,2550.0
2022-04-14,2450.0
2022-04-18,2350.0
2022-04-19,2425.0
2022-04-20,2385.0
2022-04-21,2145.0
2022-04-22,2170.0
2022-04-25,2050.0
2022-04-26,2000.0
2022-04-27,2000.0
2022-04-28,1970.0
2022-04-29,1850.0
2022-05-02,1970.0
2022-05-03,1950.0
2022-05-04,1965.0
2022-05-05,1925.0
2022-05-06,1515.0
2022-05-09,1240.0
2022-05-10,1225.0
2022-05-11,1070.0
2022-05-12,1175.0
2022-05-13,1135.0
2022-05-16,1070.0
2022-05-17,1125.0
2022-05-18,1040.0
2022-05-19,1060.0
2022-05-20,1085.0
2022-05-23,1050.0
2022-05-24,1020.0
2022-05-25,975.0
2022-05-26,995.0
2022-05-27,1045.0
2022-05-31,1010.0
2022-06-01,985.0
2022-06-02,1000.0
2022-06-03,960.0
2022-06-06,950.0
2022-06-07,900.0
2022-06-08,940.0
2022-06-09,945.0
2022-06-10,925.0
2022-06-13,845.0
2022-06-14,750.0
2022-06-15,850.0
2022-06-16,805.0
2022-06-17,850.0
2022-06-21,840.0
2022-06-22,850.0
2022-06-23,890.0
2022-06-24,750.0
2022-06-27,905.0
2022-06-28,830.0
2022-06-29,875.0
2022-06-30,810.0
2022-07-01,850.0
2022-07-05,945.0
2022-07-06,795.0
2022-07-07,805.0
2022-07-08,755.0
2022-07-11,765.0
2022-07-12,765.0
2022-07-13,745.0
2022-07-14,700.0
2022-07-15,700.0
2022-07-18,705.0
2022-07-19,720.0
2022-07-20,720.0
2022-07-21,720.0
2022-07-22,685.0
2022-07-25,685.0
2022-07-26,660.0
2022-07-27,670.0
2022-07-28,615.0
2022-07-29,605.0
2022-08-01,600.0
2022-08-02,605.0
2022-08-03,605.0
2022-08-04,645.0
2022-08-05,660.0
2022-08-08,650.0
2022-08-09,605.0
2022-08-10,790.0
2022-08-11,1000.0
2022-08-12,965.0
2022-08-15,1025.0
2022-08-16,810.0
2022-08-17,720.0
2022-08-18,740.0
2022-08-19,660.0
2022-08-22,625.0
2022-08-23,625.0
2022-08-24,640.0
2022-08-25,655.0
2022-08-26,630.0
2022-08-29,615.0
2022-08-30,610.0
2022-08-31,615.0
2022-09-01,585.0
2022-09-02,575.0
2022-09-06,560.0
2022-09-07,520.0
2022-09-08,565.0
2022-09-09,585.0
2022-09-12,595.0
2022-09-13,585.0
2022-09-14,585.0
2022-09-15,580.0
2022-09-16,550.0
2022-09-19,510.0
2022-09-20,510.0
2022-09-21,505.0
2022-09-22,445.0
2022-09-23,530.0
2022-09-26,490.0
2022-09-27,500.0
2022-09-28,540.0
2022-09-29,530.0
2022-09-30,565.0
2022-10-03,545.0
2022-10-04,535.0
2022-10-05,495.0
2022-10-06,535.0
2022-10-07,505.0
2022-10-10,445.0
2022-10-11,400.0
2022-10-12,280.0
2022-10-13,255.0
2022-10-14,232.0
2022-10-17,211.0
2022-10-18,204.0
2022-10-19,175.0
2022-10-20,171.0
2022-10-21,171.0
2022-10-24,158.0
2022-10-25,177.0
2022-10-26,192.0
2022-10-27,189.0
2022-10-28,179.0
2022-10-31,185.0
2022-11-01,184.0
2022-11-02,174.0
2022-11-03,175.0
2022-11-04,176.0
2022-11-07,183.0
2022-11-08,182.0
2022-11-09,176.0
2022-11-10,185.0
2022-11-11,190.0
2022-11-14,225.0
2022-11-15,203.0
2022-11-16,201.0
2022-11-17,190.0
2022-11-18,183.0
2022-11-21,177.0
2022-11-22,171.0
2022-11-23,172.0
2022-11-25,178.0
2022-11-28,165.0
2022-11-29,165.0
2022-11-30,166.0
2022-12-01,171.0
2022-12-02,169.0
2022-12-05,160.0
2022-12-06,152.0
2022-12-07,147.0
2022-12-08,150.0
2022-12-09,148.0
2022-12-12,145.0
2022-12-13,143.0
2022-12-14,142.0
2022-12-15,135.0
2022-12-16,121.0
2022-12-19,118.0
2022-12-20,117.0
2022-12-21,122.0
2022-12-22,115.5
2022-12-23,114.0
2022-12-27,106.0
2022-12-28,114.0
2022-12-29,143.0
2022-12-30,142.0
2023-01-03,160.0
2023-01-04,161.0
2023-01-05,167.0
2023-01-06,173.0
2023-01-09,171.0
2023-01-10,184.0
2023-01-11,188.0
2023-01-12,189.0
2023-01-13,204.0
2023-01-17,200.0
2023-01-18,185.0
2023-01-19,177.0
2023-01-20,182.0
2023-01-23,184.5
2023-01-24,173.0
2023-01-25,164.0
2023-01-26,161.0
2023-01-27,167.0
2023-01-30,159.0
2023-01-31,157.0
2023-02-01,151.0
2023-02-02,142.0
2023-02-03,140.0
2023-02-06,148.0
2023-02-07,158.0
2023-02-08,151.0
2023-02-09,142.0
2023-02-10,141.0
2023-02-13,140.0
2023-02-14,108.0
2023-02-15,83.0
2023-02-16,83.5
2023-02-17,80.0
2023-02-21,67.0
2023-02-22,61.79999923706055
2023-02-23,56.400001525878906
2023-02-24,57.0
2023-02-27,58.5
2023-02-28,61.5
2023-03-01,59.5
2023-03-02,60.5
2023-03-03,62.400001525878906
2023-03-06,60.400001525878906
2023-03-07,59.0
2023-03-08,57.0
2023-03-09,57.900001525878906
2023-03-10,56.0
2023-03-13,58.099998474121094
2023-03-14,55.900001525878906
2023-03-15,52.900001525878906
2023-03-16,53.0
2023-03-17,49.5
2023-03-20,48.5
2023-03-21,51.5
2023-03-22,54.29999923706055
2023-03-23,50.0
2023-03-24,50.0
2023-03-27,49.599998474121094
2023-03-28,46.900001525878906
2023-03-29,46.0
2023-03-30,46.0
2023-03-31,46.0
2023-04-03,45.5
2023-04-04,44.5
2023-04-05,42.79999923706055
2023-04-06,44.0
2023-04-10,43.20000076293945
2023-04-11,43.5
2023-04-12,42.0
2023-04-13,40.70000076293945
2023-04-14,39.79999923706055
2023-04-17,37.5
2023-04-18,37.400001525878906
2023-04-19,37.29999923706055
2023-04-20,36.5
2023-04-21,36.29999923706055
2023-04-24,35.29999923706055
2023-04-25,34.599998474121094
2023-04-26,33.0
2023-04-27,33.0
2023-04-28,33.0
2023-05-01,30.899999618530273
2023-05-02,30.200000762939453
2023-05-03,30.299999237060547
2023-05-04,28.799999237060547
2023-05-05,28.5
2023-05-08,28.899999618530273
2023-05-09,27.899999618530273
2023-05-10,28.0
2023-05-11,28.200000762939453
2023-05-12,28.200000762939453
2023-05-15,27.5
2023-05-16,26.600000381469727
2023-05-17,26.600000381469727
2023-05-18,27.399999618530273
2023-05-19,27.399999618530273
2023-05-22,28.299999237060547
2023-05-23,17.399999618530273
2023-05-24,11.5
2023-05-25,10.699999809265137
2023-05-26,9.5
2023-05-30,13.5
2023-05-31,9.0
2023-06-01,10.600000381469727
2023-06-02,10.199999809265137
2023-06-05,7.0
2023-06-06,7.900000095367432
2023-06-07,8.100000381469727
2023-06-08,8.300000190734863
2023-06-09,7.099999904632568
2023-06-12,6.400000095367432
2023-06-13,6.199999809265137
2023-06-14,7.5
2023-06-15,8.899999618530273
2023-06-16,8.699999809265137
2023-06-20,8.0
2023-06-21,7.199999809265137
2023-06-22,7.400000095367432
2023-06-23,7.599999904632568
2023-06-26,7.099999904632568
2023-06-27,7.099999904632568
2023-06-28,6.900000095367432
2023-06-29,7.0
2023-06-30,7.099999904632568
2023-07-03,7.099999904632568
2023-07-05,7.400000095367432
2023-07-06,8.300000190734863
2023-07-07,11.5
2023-07-10,15.800000190734863
2023-07-11,15.0
2023-07-12,12.600000381469727
2023-07-13,10.800000190734863
2023-07-14,11.100000381469727
2023-07-17,10.300000190734863
2023-07-18,9.199999809265137
2023-07-19,10.199999809265137
2023-07-20,10.0
2023-07-21,10.100000381469727
2023-07-24,9.399999618530273
2023-07-25,11.199999809265137
2023-07-26,11.899999618530273
2023-07-27,11.699999809265137
2023-07-28,11.600000381469727
2023-07-31,14.800000190734863
2023-08-01,15.800000190734863
2023-08-02,24.299999237060547
2023-08-03,35.0
2023-08-04,25.0
2023-08-07,24.5
2023-08-08,31.0
2023-08-09,34.29999923706055
2023-08-10,32.70000076293945
2023-08-11,33.79999923706055
2023-08-14,39.0
2023-08-15,59.099998474121094
2023-08-16,56.900001525878906
2023-08-17,45.29999923706055
2023-08-18,56.0
2023-08-21,52.599998474121094
2023-08-22,48.0
2023-08-23,47.79999923706055
2023-08-24,35.20000076293945
2023-08-25,36.79999923706055
2023-08-28,33.5
2023-08-29,27.200000762939453
2023-08-30,32.400001525878906
2023-08-31,31.299999237060547
2023-09-01,35.0
2023-09-05,34.599998474121094
2023-09-06,30.100000381469727
2023-09-07,34.29999923706055
2023-09-08,30.299999237060547
2023-09-11,26.100000381469727
2023-09-12,29.799999237060547
2023-09-13,27.5
2023-09-14,26.100000381469727
2023-09-15,27.700000762939453
2023-09-18,45.900001525878906
2023-09-19,33.900001525878906
2023-09-20,30.200000762939453
2023-09-21,29.0
2023-09-22,25.399999618530273
2023-09-25,21.899999618530273
2023-09-26,20.200000762939453
2023-09-27,18.100000381469727
2023-09-28,17.799999237060547
2023-09-29,22.100000381469727
2023-10-02,23.200000762939453
2023-10-03,21.799999237060547
2023-10-04,20.299999237060547
2023-10-05,19.399999618530273
2023-10-06,26.299999237060547
2023-10-09,28.0
2023-10-10,29.0
2023-10-11,31.0
2023-10-12,17.399999618530273
2023-10-13,8.199999809265137
2023-10-16,7.25
2023-10-17,7.550000190734863
2023-10-18,6.730000019073486
2023-10-19,5.664999961853027
2023-10-20,5.449999809265137
2023-10-23,5.210000038146973
2023-10-24,5.704999923706055
2023-10-25,6.050000190734863
2023-10-26,5.610000133514404
2023-10-27,5.489999771118164
2023-10-30,5.349999904632568
2023-10-31,5.909999847412109
2023-11-01,5.929999828338623
2023-11-02,5.880000114440918
2023-11-03,5.409999847412109
2023-11-06,5.349999904632568
2023-11-07,5.429999828338623
2023-11-08,5.619999885559082
2023-11-09,5.300000190734863
2023-11-10,4.71999979019165
2023-11-13,4.21999979019165
2023-11-14,4.460000038146973
2023-11-15,4.329999923706055
2023-11-16,4.21999979019165
2023-11-17,3.9000000953674316
2023-11-20,3.950000047683716
2023-11-21,3.799999952316284
2023-11-22,3.940000057220459
2023-11-24,4.090000152587891
2023-11-27,3.8399999141693115
2023-11-28,3.700000047683716
2023-11-29,3.640000104904175
2023-11-30,3.5399999618530273
2023-12-01,3.9000000953674316
2023-12-04,4.210000038146973
2023-12-05,3.740000009536743
2023-12-06,3.759999990463257
2023-12-07,3.700000047683716
2023-12-08,3.759999990463257
2023-12-11,3.8399999141693115
2023-12-12,3.6700000762939453
2023-12-13,3.6600000858306885
2023-12-14,3.6700000762939453
2023-12-15,3.759999990463257
2023-12-18,3.9100000858306885
2023-12-19,4.809999942779541
2023-12-20,5.300000190734863
2023-12-21,4.820000171661377
2023-12-22,5.21999979019165
2023-12-26,4.869999885559082
2023-12-27,5.159999847412109
2023-12-28,7.449999809265137
2023-12-29,6.275000095367432
2024-01-02,5.409999847412109
2024-01-03,6.130000114440918
2024-01-04,5.505000114440918
2024-01-05,5.800000190734863
2024-01-08,5.690000057220459
2024-01-09,5.210000038146973
2024-01-10,5.15500020980835
2024-01-11,4.679999828338623
2024-01-12,4.159999847412109
2024-01-16,4.03000020980835
2024-01-17,4.300000190734863
2024-01-18,4.5
2024-01-19,4.400000095367432
2024-01-22,4.429999828338623
2024-01-23,4.269999980926514
2024-01-24,3.819999933242798
2024-01-25,4.110000133514404
2024-01-26,4.21999979019165
2024-01-29,4.550000190734863
2024-01-30,4.369999885559082
2024-01-31,4.5
2024-02-01,4.889999866485596
2024-02-02,4.760000228881836
2024-02-05,4.320000171661377
2024-02-06,4.429999828338623
2024-02-07,4.260000228881836
2024-02-08,4.289999961853027
2024-02-09,4.889999866485596
2024-02-12,6.489999771118164
2024-02-13,6.239999771118164
2024-02-14,6.230000019073486
2024-02-15,6.389999866485596
2024-02-16,5.449999809265137
2024-02-20,5.519999980926514
2024-02-21,5.550000190734863
2024-02-22,5.480000019073486
2024-02-23,5.420000076293945
2024-02-26,5.429999828338623
2024-02-27,5.300000190734863
2024-02-28,5.050000190734863
2024-02-29,5.039999961853027
2024-03-01,5.28000020980835
2024-03-04,5.28000020980835
2024-03-05,4.920000076293945
2024-03-06,4.829999923706055
2024-03-07,4.880000114440918
2024-03-08,4.909999847412109
2024-03-11,4.46999979019165
2024-03-12,4.630000114440918
2024-03-13,4.599999904632568
2024-03-14,4.019999980926514
2024-03-15,4.179999828338623
2024-03-18,3.930000066757202
2024-03-19,3.490000009536743
2024-03-20,3.109999895095825
2024-03-21,3.0199999809265137
2024-03-22,2.869999885559082
2024-03-25,2.9800000190734863
2024-03-26,2.859999895095825
2024-03-27,3.049999952316284
2024-03-28,3.0
2024-04-01,2.9800000190734863
2024-04-02,2.9600000381469727
2024-04-03,2.7899999618530273
2024-04-04,2.859999895095825
2024-04-05,2.8299999237060547
2024-04-08,2.819999933242798
2024-04-09,3.130000114440918
2024-04-10,3.069999933242798
2024-04-11,3.1500000953674316
2024-04-12,3.140000104904175
2024-04-15,2.9700000286102295
2024-04-16,3.0299999713897705
2024-04-17,2.940000057220459
2024-04-18,2.990000009536743
2024-04-19,2.9600000381469727
2024-04-22,3.1600000858306885
2024-04-23,2.7200000286102295
2024-04-24,2.759999990463257
2024-04-25,2.740000009536743
2024-04-26,2.8399999141693115
2024-04-29,2.940000057220459
2024-04-30,3.3550000190734863
2024-05-01,3.0
2024-05-02,3.6500000953674316
2024-05-03,3.7200000286102295
2024-05-06,3.630000114440918
2024-05-07,3.240000009536743
2024-05-08,3.049999952316284
2024-05-09,3.190000057220459
2024-05-10,3.694999933242798
2024-05-13,4.389999866485596
2024-05-14,4.159999847412109
2024-05-15,5.96999979019165
2024-05-16,5.639999866485596
2024-05-17,5.639999866485596
2024-05-20,6.059999942779541
2024-05-21,5.449999809265137
2024-05-22,5.630000114440918
2024-05-23,5.159999847412109
2024-05-24,4.949999809265137
2024-05-28,5.059999942779541
2024-05-29,5.090000152587891
2024-05-30,5.059999942779541
2024-05-31,5.139999866485596
2024-06-03,4.78000020980835
2024-06-04,4.539999961853027
2024-06-05,4.639999866485596
2024-06-06,4.519999980926514
2024-06-07,4.289999961853027
2024-06-10,4.420000076293945
2024-06-11,4.690000057220459
2024-06-12,4.789999961853027
2024-06-13,4.800000190734863
2024-06-14,5.110000133514404
2024-06-17,5.130000114440918
2024-06-18,5.309999942779541
2024-06-20,5.760000228881836
2024-06-21,5.929999828338623
2024-06-24,6.550000190734863
2024-06-25,5.949999809265137
2024-06-26,5.360000133514404
2024-06-27,5.429999828338623
2024-06-28,5.340000152587891
2024-07-01,5.380000114440918
